,Unnamed: 0,No,year,month,day,hour,season,PM_Dongsi,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
0,43824,43825,2015,1,1,0,4,5.0,8.0,22.0,-21.0,29.0,1034.0,-6.0,SE,0.89,0.0,0.0
1,43825,43826,2015,1,1,1,4,4.0,7.0,9.0,-22.0,23.0,1034.0,-4.0,NW,4.92,0.0,0.0
2,43826,43827,2015,1,1,2,4,3.0,7.0,9.0,-21.0,27.0,1034.0,-5.0,NW,8.94,0.0,0.0
3,43827,43828,2015,1,1,3,4,4.0,11.0,13.0,-21.0,29.0,1035.0,-6.0,NW,12.96,0.0,0.0
4,43828,43829,2015,1,1,4,4,3.0,5.0,10.0,-21.0,27.0,1034.0,-5.0,NW,16.98,0.0,0.0
5,43829,43830,2015,1,1,5,4,3.0,3.0,6.0,-22.0,23.0,1034.0,-4.0,NW,24.13,0.0,0.0
6,43830,43831,2015,1,1,6,4,3.0,6.0,8.0,-23.0,22.0,1034.0,-5.0,NW,25.92,0.0,0.0
7,43831,43832,2015,1,1,7,4,3.0,7.0,17.0,-22.0,26.0,1035.0,-6.0,SE,1.79,0.0,0.0
8,43832,43833,2015,1,1,8,4,3.0,7.0,11.0,-22.0,29.0,1035.0,-7.0,cv,0.89,0.0,0.0
9,43833,43834,2015,1,1,9,4,5.0,11.0,33.0,-22.0,24.0,1035.0,-5.0,NE,1.79,0.0,0.0
10,43834,43835,2015,1,1,10,4,4.0,36.0,37.0,-22.0,21.0,1035.0,-3.0,NE,4.92,0.0,0.0
11,43835,43836,2015,1,1,11,4,21.0,40.0,40.0,-22.0,19.0,1034.0,-2.0,cv,1.79,0.0,0.0
12,43836,43837,2015,1,1,12,4,41.0,61.0,63.0,-22.0,17.0,1032.0,0.0,cv,3.58,0.0,0.0
13,43837,43838,2015,1,1,13,4,40.0,54.0,62.0,-22.0,16.0,1030.0,1.0,SE,3.13,0.0,0.0
14,43838,43839,2015,1,1,14,4,28.0,53.0,44.0,-23.0,13.0,1029.0,2.0,SE,6.26,0.0,0.0
15,43839,43840,2015,1,1,15,4,29.0,41.0,48.0,-23.0,13.0,1028.0,2.0,SE,9.39,0.0,0.0
16,43840,43841,2015,1,1,16,4,31.0,51.0,51.0,-24.0,12.0,1027.0,2.0,SE,13.41,0.0,0.0
17,43841,43842,2015,1,1,17,4,52.0,68.0,82.0,-23.0,14.0,1027.0,1.0,SE,16.54,0.0,0.0
18,43842,43843,2015,1,1,18,4,64.0,81.0,87.0,-21.0,20.0,1026.0,-1.0,SE,19.67,0.0,0.0
19,43843,43844,2015,1,1,19,4,75.0,88.0,106.0,-19.0,25.0,1026.0,-2.0,cv,0.89,0.0,0.0
20,43844,43845,2015,1,1,20,4,82.0,100.0,123.0,-19.0,34.0,1026.0,-6.0,NE,1.79,0.0,0.0
21,43845,43846,2015,1,1,21,4,88.0,102.0,136.0,-19.0,40.0,1026.0,-8.0,NE,2.68,0.0,0.0
22,43846,43847,2015,1,1,22,4,86.0,124.0,139.0,-18.0,38.0,1026.0,-6.0,NW,1.79,0.0,0.0
23,43847,43848,2015,1,1,23,4,80.0,134.0,154.0,-17.0,48.0,1027.0,-8.0,NE,1.79,0.0,0.0
24,43848,43849,2015,1,2,0,4,82.0,126.0,126.0,-18.0,32.0,1027.0,-4.0,NW,1.79,0.0,0.0
25,43849,43850,2015,1,2,1,4,81.0,98.0,98.0,-19.0,32.0,1028.0,-5.0,NW,4.92,0.0,0.0
26,43850,43851,2015,1,2,2,4,68.0,68.0,66.0,-18.0,35.0,1028.0,-5.0,NW,9.84,0.0,0.0
